price,gender,movement,case_material_category,brand_country,brand_age,warranty_period,dial_color,strap_material,collection_popularity,water_resistance_meters,case_diameter_mm,brand_prestige_level
449000.0,male,automatic,steel,italy,140.0,5.0,blue,stainless_steel,16.0,100.0,41.0,4
261900.0,male,automatic,steel,switzerland,176.0,5.0,grey,leather,59.0,50.0,38.0,4
31480.0,male,quartz,steel,switzerland,171.0,2.0,grey,stainless_steel,97.0,300.0,38.0,1
444600.0,male,automatic,steel,switzerland,140.0,5.0,blue,stainless_steel,29.0,200.0,42.0,3
35980.0,male,automatic,gold,switzerland,171.0,2.0,silver,crocodile,160.0,30.0,39.3,1
103000.0,male,automatic,steel,switzerland,192.0,5.0,black,rubber,57.0,100.0,38.0,2
178000.0,male,automatic,steel,switzerland,192.0,5.0,white,stainless_steel,49.0,300.0,39.0,2
449000.0,male,automatic,gold,italy,140.0,5.0,blue,"rubber, stainless_steel",16.0,100.0,41.0,4
161000.0,male,automatic,steel,switzerland,192.0,5.0,black,rubber,49.0,300.0,39.0,2
301600.0,male,automatic,steel,switzerland,140.0,5.0,blue,rubber,29.0,200.0,42.0,3
361400.0,male,automatic,steel,switzerland,140.0,5.0,green,leather,10.0,100.0,38.0,3
374400.0,male,automatic,titanium,switzerland,44.0,2.0,black,rubber,45.0,50.0,42.0,4
75000.0,male,automatic,steel,switzerland,192.0,5.0,blue,stainless_steel,49.0,300.0,41.0,2
355000.0,male,manual,steel,switzerland,176.0,5.0,black,stainless_steel,25.0,50.0,42.0,4
17990.0,male,quartz,steel,switzerland,171.0,2.0,green,stainless_steel,160.0,100.0,40.0,1
